shot,t_end,t_peak,t_hi,t_lo,ipk,ip_end_frac,t_after_lo,flat_before,quench_duration_s,is_fast,n_bridge,flipped,d_ms,logd,bin,lo_rel_end
14951,0.5154000000000001,0.4414,0.44220000000000004,0.4434,505920.25,0.009662291875238736,0.07200000000000006,0.0008000000000000229,0.0011999999999999,True,1,False,1.1999999999999,0.07918124604758865,"(14000, 17000]",72.00000000000006
14982,0.5308,0.3256,0.4344,0.4628000000000001,474872.5,0.008664901911170893,0.06799999999999995,0.10880000000000001,0.0283999999999988,False,3,False,28.3999999999988,1.4533183400470193,"(14000, 17000]",67.99999999999994
15009,0.27560000000000007,0.19899999999999998,0.20099999999999998,0.2038,951831.875,0.0025586622214827854,0.07180000000000006,0.0020000000000000018,0.0028,True,8,False,2.8,0.4471580313422192,"(14000, 17000]",71.80000000000005
15040,0.3688,0.2942,0.29480000000000006,0.29580000000000006,899340.6875,0.008548350476505323,0.07299999999999995,0.0006000000000000449,0.0009999999999999,True,2,False,0.9999999999999001,-4.339473599490009e-14,"(14000, 17000]",72.99999999999996
15065,0.34120000000000006,0.26539999999999997,0.2672,0.268,946921.125,0.007115954413408772,0.07320000000000004,0.0018000000000000238,0.0007999999999999,True,2,False,0.7999999999999,-0.0969100130081107,"(14000, 17000]",73.20000000000005
15089,0.2824,0.2064,0.20820000000000002,0.2104,785740.375,0.00789902331666328,0.07199999999999998,0.0018000000000000238,0.0022,True,2,False,2.2,0.3424226808222063,"(14000, 17000]",71.99999999999999
15114,0.4106000000000001,0.3348,0.33599999999999997,0.3388,833881.5625,-0.021035804039167733,0.07180000000000009,0.0011999999999999789,0.0027999999999998,True,0,False,2.7999999999998,0.4471580313421882,"(14000, 17000]",71.80000000000008
15141,0.48340000000000005,0.1776,0.38040000000000007,0.4106000000000001,759647.75,0.004931366626834609,0.07279999999999998,0.20280000000000006,0.0301999999999987,False,3,False,30.1999999999987,1.4800069429571319,"(14000, 17000]",72.79999999999998
15169,0.41800000000000004,0.25539999999999996,0.3376,0.34620000000000006,777499.875,0.014209109750258802,0.07179999999999997,0.08220000000000005,0.0085999999999996,True,2,False,8.5999999999996,0.9344984512435475,"(14000, 17000]",71.79999999999997
15198,0.4928,0.2582,0.35540000000000005,0.4264,702127.3125,0.0023903172216163254,0.06640000000000001,0.09720000000000006,0.0709999999999971,False,2,False,70.99999999999709,1.8512583487190575,"(14000, 17000]",66.40000000000002
15224,0.4146000000000001,0.1962,0.3406,0.3426,784167.0625,-0.006015594980836752,0.07200000000000006,0.1444,0.0019999999999999,True,3,False,1.9999999999998999,0.30102999566395944,"(14000, 17000]",72.00000000000006
15254,0.3822,0.3062,0.3074,0.3106,970766.875,0.001858045228176564,0.0716,0.0011999999999999789,0.0031999999999999,True,0,False,3.1999999999999,0.5051499783198924,"(14000, 17000]",71.6
15278,0.49760000000000004,0.25880000000000003,0.35860000000000003,0.43320000000000003,667920.625,0.003612187512574005,0.06440000000000001,0.0998,0.0745999999999969,False,3,False,74.59999999999691,1.8727388274726509,"(14000, 17000]",64.4
15306,0.3284,0.253,0.2542,0.2552,1045346.8125,0.0012852628372617245,0.07320000000000004,0.0011999999999999789,0.001,True,0,False,1.0,0.0,"(14000, 17000]",73.20000000000005
15331,0.2642,0.18760000000000002,0.19000000000000003,0.1924,751155.0,0.006437907237437679,0.0718,0.0024000000000000132,0.0024,True,10,False,2.4,0.38021124171160603,"(14000, 17000]",71.8
15363,0.44820000000000004,0.27560000000000007,0.35140000000000005,0.37640000000000007,726271.5625,0.0059727660032899196,0.07179999999999997,0.07579999999999998,0.0249999999999989,False,0,False,24.999999999998902,1.3979400086720186,"(14000, 17000]",71.79999999999997
15442,0.533,0.4534,0.4554,0.4610000000000001,813481.125,0.007099471586156962,0.07199999999999995,0.0020000000000000018,0.0055999999999997,True,2,False,5.599999999999699,0.7481880270061771,"(14000, 17000]",71.99999999999996
15477,0.5448000000000001,0.23040000000000002,0.406,0.4828,767279.5,0.0019734516103242037,0.062000000000000055,0.1756,0.0767999999999968,False,3,False,76.7999999999968,1.885361220031494,"(14000, 17000]",62.00000000000006
