shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
17862,True,,False,0.00019999999999999185,2642,923627.25,0.0033999999999998615,True,1
17887,True,,False,0.00019999999999999185,2793,727235.75,0.07559999999999692,False,3
17912,True,,False,0.00019999999999999185,3067,872984.625,0.002399999999999902,True,1
17935,True,,False,0.00019999999999999185,2712,835508.3125,0.0029999999999998778,True,2
17960,True,,False,0.00019999999999999185,2635,802685.875,0.002799999999999886,True,1
17983,True,,False,0.00019999999999999185,2671,859434.1875,0.0029999999999998778,True,3
18007,True,,False,0.00019999999999999185,2785,861429.875,0.002599999999999894,True,0
18030,True,,False,0.0001999999999999988,2486,1268641.625,0.0031999999999999806,True,6
18055,True,,False,0.00020000000000000573,1725,636352.6875,0.022800000000000653,False,4
18101,True,,False,0.00019999999999999185,3212,780769.5,0.1297999999999947,False,3
18288,True,,False,0.00019999999999997797,3624,525227.5,0.0015999999999998238,True,4
18311,True,,False,0.00020000000000000573,1966,1181987.75,0.0016000000000000458,True,4
18334,True,,False,0.0001999999999999988,2417,956010.875,0.0031999999999999806,True,4
18358,True,,False,0.00019999999999999185,3078,853797.5,0.0031999999999998696,True,0
18386,True,,False,0.0001999999999999988,2427,927059.0,0.0023999999999999855,True,2
18409,True,,False,0.00019999999999999185,2973,763471.1875,0.04219999999999828,False,6
18433,True,,False,0.0001999999999999988,2498,967940.75,0.002999999999999982,True,6
18455,True,,False,0.00020000000000000573,1501,717806.875,0.0018000000000000516,True,1
18482,True,,False,0.00019999999999999185,2888,991035.6875,0.0035999999999998533,True,2
18505,True,,False,0.0001999999999999988,2455,1387578.125,0.0031999999999999806,True,0
18530,True,,False,0.0001999999999999988,2266,1486545.375,0.0011999999999999927,True,5
18553,True,,False,0.0001999999999999988,2305,1276591.625,0.0031999999999999806,True,8
18578,True,,False,0.0001999999999999988,2210,1124307.375,0.0031999999999999806,True,0
