shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
15851,True,,False,0.00019999999999999185,2633,819975.375,0.0021999999999999104,True,1
15877,True,,False,0.00019999999999997797,3293,762986.0625,0.08679999999999044,False,1
15905,True,,False,0.00019999999999999185,2986,980472.1875,0.002599999999999894,True,5
15946,True,,False,0.00019999999999999185,2867,766426.25,0.018599999999999242,False,0
15972,True,,False,0.00020000000000000573,2108,974520.25,0.0026000000000000745,True,5
15997,True,,False,0.00020000000000000573,1624,919136.25,0.0026000000000000745,True,9
16025,True,,False,0.0001999999999999988,2211,1339054.5,0.0011999999999999927,True,4
16049,True,,False,0.00019999999999999185,3011,856306.5,0.002599999999999894,True,1
16075,True,,False,0.0001999999999999988,2358,925821.0,0.002799999999999983,True,2
16099,True,,False,0.0001999999999999988,2486,898432.75,0.0025999999999999843,True,0
16131,True,,False,0.0001999999999999988,2356,1219849.375,0.0033999999999999794,True,4
16157,True,,False,0.0001999999999999988,2207,945503.0,0.0031999999999999806,True,4
16186,True,,False,0.00019999999999999185,3193,688562.1875,0.0021999999999999104,True,0
16211,True,,False,0.00019999999999999185,3096,1051695.5,0.002399999999999902,True,0
16237,True,,False,0.00020000000000000573,2178,991499.25,0.0032000000000000917,True,3
16261,True,,False,0.00019999999999999185,3157,761459.0625,0.005799999999999764,True,8
16283,True,,False,0.00019999999999999185,2767,802479.25,0.0021999999999999104,True,3
16310,True,,False,0.00019999999999999185,2924,774240.875,0.024399999999999006,False,1
16332,True,,False,0.0001999999999999988,2485,992155.8125,0.0025999999999999843,True,6
16360,True,,False,0.00019999999999997797,3660,757097.625,0.1279999999999859,False,3
16387,True,,False,0.0001999999999999988,2362,913407.875,0.0023999999999999855,True,4
16413,True,,False,0.00019999999999999185,3136,815664.5625,0.002399999999999902,True,2
16443,True,,False,0.00019999999999997797,3611,657921.0625,0.048799999999994625,False,4
16468,True,,False,0.00019999999999999185,2796,1427312.625,0.0033999999999998615,True,0
16542,True,,False,0.00020000000000000573,1867,893361.625,0.0012000000000000344,True,0
16589,True,,False,0.00019999999999999185,2678,614278.75,0.04239999999999827,False,4
16623,True,,False,0.00019999999999999185,3204,624767.0625,0.016999999999999307,False,1
16667,True,,False,0.00020000000000000573,2061,944507.125,0.002200000000000063,True,4
16691,True,,False,0.00019999999999999185,3114,766591.4375,0.0761999999999969,False,4
16716,True,,False,0.00020000000000000573,2133,863572.6875,0.0024000000000000687,True,4
16748,True,,False,0.00019999999999999185,2837,739225.375,0.028599999999998835,False,1
16802,True,,False,0.0001999999999999988,2366,903134.9375,0.01979999999999988,False,0
16856,True,,False,0.00019999999999999185,2721,635528.4375,0.06339999999999742,False,4
16923,True,,False,0.00019999999999999185,3148,478144.8125,0.044799999999998175,False,5
16950,True,,False,0.00019999999999997797,3243,655320.6875,0.0025999999999997137,True,2
16973,True,,False,0.00019999999999999185,3021,523543.75,0.04999999999999796,False,3
16994,True,,False,0.00019999999999999185,3139,753809.1875,0.0785999999999968,False,3
17022,True,,False,0.00019999999999997797,3672,527203.25,0.0017999999999998018,True,1
17048,True,,False,0.00020000000000000573,1623,916119.8125,0.0024000000000000687,True,5
17076,True,,False,0.0001999999999999988,2397,926882.8125,0.002999999999999982,True,0
17098,True,,False,0.0001999999999999988,2292,887513.0,0.002799999999999983,True,4
17127,True,,False,0.00019999999999999185,2611,912535.375,0.0031999999999998696,True,1
17152,True,,False,0.0001999999999999988,2455,911213.125,0.0025999999999999843,True,3
17175,True,,False,0.00019999999999997797,3750,425157.4375,0.01079999999999881,True,1
17198,True,,False,0.0001999999999999988,2214,942566.8125,0.002799999999999983,True,2
17262,True,,False,0.00019999999999997797,3261,763465.4375,0.10639999999998828,False,1
17353,True,,False,0.00020000000000000573,2104,866357.4375,0.002200000000000063,True,1
17392,True,,False,0.00019999999999997797,3281,759555.5625,0.10879999999998802,False,2
17429,True,,False,0.00019999999999999185,3128,745298.0625,0.11339999999999538,False,5
17450,True,,False,0.00019999999999997797,3426,762431.5625,0.09879999999998912,False,2
17473,True,,False,0.00019999999999999185,3207,810261.9375,0.002599999999999894,True,0
17506,True,,False,0.00019999999999999185,2672,867564.25,0.002599999999999894,True,2
17526,True,,False,0.00019999999999999185,2882,757126.1875,0.022199999999999095,False,0
17557,True,,False,0.0001999999999999988,2448,846828.125,0.0023999999999999855,True,8
17581,True,,False,0.00019999999999999185,2547,930858.6875,0.002799999999999886,True,6
17607,True,,False,0.0001999999999999988,2402,923672.4375,0.0033999999999999794,True,2
17633,True,,False,0.00019999999999999185,2855,1414070.875,0.002799999999999886,True,6
17656,True,,False,0.00019999999999997797,3478,756617.8125,0.09459999999998958,False,0
17680,True,,False,0.00019999999999999185,2633,930400.75,0.0029999999999998778,True,2
17709,True,,False,0.00019999999999999185,2568,875561.5,0.0033999999999998615,True,5
17729,True,,False,0.0001999999999999988,2226,1006093.0625,0.002999999999999982,True,0
17757,True,,False,0.00019999999999999185,3190,630661.5,0.05719999999999767,False,0
17778,True,,False,0.0001999999999999988,2267,972147.625,0.002999999999999982,True,0
17800,True,,False,0.00019999999999999185,2569,917602.6875,0.002399999999999902,True,11
17826,True,,False,0.00019999999999997797,3678,505399.75,0.0019999999999997797,True,1
17849,True,,False,0.00019999999999999185,2622,950275.625,0.0031999999999998696,True,1
17873,True,,False,0.00019999999999999185,2700,731247.0,0.06599999999999731,False,0
17899,True,,False,0.00019999999999999185,2569,1035361.3125,0.0031999999999998696,True,4
17923,True,,False,0.00019999999999997797,3395,750286.0625,0.10239999999998872,False,5
17947,True,,False,0.00019999999999997797,3560,755571.0,0.06699999999999262,False,0
17971,True,,False,0.00019999999999999185,2773,970259.6875,0.0033999999999998615,True,2
17995,True,,False,0.0001999999999999988,2538,940819.6875,0.002999999999999982,True,0
18020,True,,False,0.00019999999999999185,2776,1401216.0,0.0029999999999998778,True,3
18045,True,,False,0.00019999999999999185,2867,726017.875,0.07339999999999701,False,1
18066,True,,False,0.0001999999999999988,2484,795859.1875,0.0025999999999999843,True,9
18226,True,,False,0.0001999999999999988,2378,937493.5,0.0025999999999999843,True,4
18300,True,,False,0.00019999999999997797,3559,733369.9375,0.0009999999999998899,True,0
18323,True,,False,0.00019999999999997797,3311,761699.1875,0.11599999999998722,False,2
18348,True,,False,0.00019999999999997797,3604,843356.5,0.0021999999999997577,True,3
18368,True,,False,0.00019999999999999185,2866,819281.5,0.0031999999999998696,True,0
18397,True,,False,0.0001999999999999988,2385,1160206.375,0.0033999999999999794,True,10
18420,True,,False,0.00020000000000000573,1987,513656.4375,0.1118000000000032,False,5
18445,True,,False,0.00019999999999997797,4037,641814.75,0.061799999999993194,False,4
18471,True,,False,0.00019999999999999185,3197,736550.5625,0.11499999999999531,False,3
18495,True,,False,0.00019999999999999185,2979,759637.5625,0.04219999999999828,False,2
18519,True,,False,0.00019999999999999185,2637,806966.4375,0.002799999999999886,True,0
18542,True,,False,0.00019999999999999185,3092,799456.0625,0.022999999999999063,False,2
18566,True,,False,0.00019999999999999185,2666,949780.3125,0.0031999999999998696,True,1
18595,True,,False,0.00019999999999999185,2555,938564.875,0.0031999999999998696,True,2
18618,True,,False,0.00019999999999999185,2952,1151221.0,0.0035999999999998533,True,3
18645,True,,False,0.00019999999999997797,3854,639886.75,0.05039999999999445,False,1
18672,True,,False,0.00020000000000000573,2125,1238620.625,0.00280000000000008,True,1
18696,True,,False,0.00019999999999999185,2617,907897.375,0.0029999999999998778,True,0
18720,True,,False,0.00019999999999999185,3051,717880.25,0.10279999999999581,False,4
18744,True,,False,0.0001999999999999988,2331,881310.1875,0.0023999999999999855,True,3
18768,True,,False,0.00019999999999999185,2772,1060363.5,0.0029999999999998778,True,3
18791,True,,False,0.00019999999999999185,2624,857555.0,0.001399999999999943,True,6
18816,True,,False,0.00019999999999997797,3426,759946.75,0.11919999999998687,False,3
18836,True,,False,0.00019999999999997797,3567,736583.25,0.0011999999999998678,True,1
18862,True,,False,0.0001999999999999988,2520,1006006.875,0.08459999999999948,False,2
18885,True,,False,0.0001999999999999988,2360,1025200.4375,0.0025999999999999843,True,6
18911,True,,False,0.00019999999999997797,3265,1168511.125,0.0027999999999996916,True,4
19301,True,,False,0.00019999999999997797,3311,280261.46875,0.19919999999997806,False,4
19409,True,,False,0.0001999999999999988,2339,735078.25,0.0017999999999999891,True,1
19455,True,,False,0.00019999999999999185,2775,529376.0625,0.044799999999998175,False,4
19493,True,,False,0.0001999999999999988,2318,724847.3125,0.020199999999999878,False,0
19524,True,,False,0.00019999999999999185,2982,662690.0,0.002799999999999886,True,4
19553,True,,False,0.00020000000000000573,1424,503639.21875,0.0008000000000000229,True,1
19580,True,,False,0.00020000000000000573,2089,466140.28125,0.15120000000000433,False,2
19613,True,,False,0.00019999999999999185,2680,695373.6875,0.0015999999999999348,True,2
19664,True,,False,0.00019999999999999185,2827,721440.3125,0.013399999999999454,True,5
19700,True,,False,0.00020000000000000573,1367,762633.75,0.00040000000000001146,True,3
19789,True,,False,0.00019999999999999185,2564,874400.6875,0.002799999999999886,True,0
19812,True,,False,0.0001999999999999988,2430,951496.9375,0.0025999999999999843,True,0
19842,True,,False,0.00019999999999999185,3065,766960.5625,0.10219999999999584,False,3
19872,True,,False,0.00019999999999997797,3495,551338.4375,0.0017999999999998018,True,3
19901,True,,False,0.00019999999999999185,3154,876203.9375,0.003799999999999845,True,7
19948,True,,False,0.0001999999999999988,2387,903072.625,0.002999999999999982,True,8
19990,True,,False,0.0001999999999999988,2466,471233.25,0.09559999999999942,False,0
20019,True,,False,0.00019999999999997797,3656,419200.71875,0.0371999999999959,False,5
20047,True,,False,0.00020000000000000573,1425,583819.0,0.0032000000000000917,True,0
20078,True,,False,0.0001999999999999988,2494,826973.1875,0.012999999999999921,True,0
20101,True,,False,0.00019999999999997797,3462,875376.625,0.0007999999999999119,True,0
20123,True,,False,0.00019999999999997797,3708,649795.8125,0.07459999999999178,False,0
20166,True,,False,0.0001999999999999988,2208,872613.375,0.003799999999999977,True,8
20253,True,,False,0.00019999999999997797,3804,428075.75,0.016399999999998194,False,0
20280,True,,False,0.00019999999999997797,3355,754382.6875,0.11759999999998705,False,3
20305,True,,False,0.0001999999999999988,2453,988743.5,0.002799999999999983,True,1
20329,True,,False,0.00019999999999999185,2754,741683.1875,0.040399999999998354,False,3
20362,True,,False,0.0001999999999999988,2531,886734.3125,0.002799999999999983,True,4
20386,True,,False,0.0001999999999999988,2439,873561.4375,0.002999999999999982,True,3
20410,True,,False,0.00019999999999999185,3094,889427.625,0.0029999999999998778,True,1
20447,True,,False,0.00019999999999997797,3832,418014.6875,0.025399999999997203,False,2
20471,True,,False,0.0001999999999999988,2405,888870.1875,0.002799999999999983,True,5
20492,True,,False,0.00019999999999999185,2758,908167.4375,0.002799999999999886,True,0
20515,True,,False,0.0001999999999999988,2360,894160.8125,0.002799999999999983,True,2
20546,True,,False,0.0001999999999999849,3229,730622.3125,0.0979999999999926,False,2
20574,True,,False,0.0001999999999999988,2242,985640.8125,0.0023999999999999855,True,1
20606,True,,False,0.00019999999999999185,2639,779176.0,0.018599999999999242,False,0
20630,True,,False,0.00019999999999999185,3003,1066346.25,0.0005999999999999756,True,2
20661,True,,False,0.00019999999999997797,3618,684997.8125,0.09819999999998918,False,1
20702,True,,False,0.00019999999999999185,3112,758020.125,0.08219999999999665,False,5
20737,True,,False,0.00020000000000000573,2164,851267.75,0.002200000000000063,True,1
20769,True,,False,0.00019999999999999185,3065,869053.0625,0.002599999999999894,True,2
20805,True,,False,0.00019999999999997797,3786,426071.03125,0.015599999999998282,False,0
20827,True,,False,0.00019999999999999185,2620,855454.8125,0.002799999999999886,True,0
20853,True,,False,0.0001999999999999988,2260,888997.5,0.0025999999999999843,True,8
20877,True,,False,0.00019999999999999185,2895,910365.8125,0.0029999999999998778,True,2
20899,True,,False,0.00019999999999997797,3825,633073.9375,0.04259999999999531,False,2
20924,True,,False,0.00019999999999999185,2837,877318.625,0.0019999999999999185,True,0
20977,True,,False,0.00019999999999999185,2628,795581.8125,0.002599999999999894,True,0
21015,True,,False,0.00019999999999999185,3115,441730.0,0.0019999999999999185,True,0
21068,True,,False,0.00019999999999999185,2675,766790.9375,0.027799999999998867,False,3
21172,True,,False,0.00019999999999999185,3017,759996.125,0.07939999999999676,False,4
21278,True,,False,0.00019999999999999185,3222,634634.3125,0.11099999999999548,False,4
21303,True,,False,0.00019999999999999185,3151,470643.15625,0.0019999999999999185,True,1
21326,True,,False,0.00019999999999999185,2777,878838.8125,0.002599999999999894,True,1
21352,True,,False,0.0001999999999999988,2326,834758.875,0.005399999999999967,True,3
21425,True,,False,0.00020000000000000573,2104,894066.4375,0.0010000000000000286,True,8
21454,True,,False,0.00019999999999997797,3322,816658.5625,0.15319999999998313,False,4
21479,True,,False,0.00019999999999999185,3139,634065.8125,0.09119999999999628,False,0
21506,True,,False,0.00019999999999999185,3032,848845.5625,0.0031999999999998696,True,1
21536,True,,False,0.00019999999999997797,3366,744683.0,0.0005999999999999339,True,4
21559,True,,False,0.00019999999999999185,2710,794880.75,0.002599999999999894,True,1
21582,True,,False,0.00019999999999999185,3060,634195.5625,0.07199999999999707,False,3
21624,True,,False,0.0001999999999999988,2484,803575.9375,0.002799999999999983,True,0
21651,True,,False,0.00019999999999999185,2723,782614.5,0.07999999999999674,False,0
21687,True,,False,0.00019999999999999185,3215,469490.53125,0.0021999999999999104,True,2
21712,True,,False,0.00019999999999997797,3737,419355.78125,0.0753999999999917,False,6
21739,True,,False,0.00019999999999997797,3904,521361.8125,0.0013999999999998458,True,1
21771,True,,False,0.00019999999999997797,3473,640888.1875,0.05799999999999361,False,2
21791,True,,False,0.00020000000000000573,1753,426830.4375,0.031600000000000905,False,2
21817,True,,False,0.00019999999999997797,3689,482581.03125,0.0005999999999999339,True,0
21845,True,,False,0.00019999999999999185,3180,632342.0625,0.08299999999999662,False,1
21868,True,,False,0.00019999999999999185,2958,678839.5,0.05179999999999789,False,0
21891,True,,False,0.00020000000000000573,2085,930715.375,0.0032000000000000917,True,6
21916,True,,False,0.00019999999999999185,3143,630366.75,0.09139999999999628,False,0
21937,True,,False,0.00019999999999999185,2611,921303.6875,0.0031999999999998696,True,0
21964,True,,False,0.00019999999999997797,3804,426037.53125,0.02259999999999751,False,0
21984,True,,False,0.00019999999999999185,2707,1097663.875,0.0031999999999998696,True,0
22010,True,,False,0.0001999999999999988,2541,1112434.625,0.000999999999999994,True,0
22036,True,,False,0.00019999999999997797,3294,730665.0,0.0009999999999998899,True,1
22058,True,,False,0.0001999999999999988,2414,923762.875,0.002999999999999982,True,0
22084,True,,False,0.0001999999999999988,2369,1089213.25,0.002999999999999982,True,4
22113,True,,False,0.00019999999999999185,3008,988268.9375,0.0035999999999998533,True,2
22134,True,,False,0.00019999999999999185,2838,1053395.0,0.002799999999999886,True,2
22158,True,,False,0.00020000000000000573,2114,929963.6875,0.0012000000000000344,True,0
22182,True,,False,0.00019999999999997797,4095,427378.34375,0.01279999999999859,True,1
22215,True,,False,0.0001999999999999988,2505,795780.0,0.002999999999999982,True,5
22236,True,,False,0.00019999999999997797,3403,709788.25,0.028399999999996872,False,4
22260,True,,False,0.00019999999999999185,2782,818668.5625,0.002799999999999886,True,1
22282,True,,False,0.00019999999999997797,3768,631595.6875,0.06619999999999271,False,2
22307,True,,False,0.0001999999999999988,2285,1006808.1875,0.002999999999999982,True,7
22332,True,,False,0.0001999999999999988,2461,1118040.0,0.002999999999999982,True,1
22394,True,,True,0.0001999999999999988,2410,1031167.5,0.0023999999999999855,True,2
22423,True,,True,0.00019999999999999185,2992,825094.125,0.05799999999999764,False,1
22443,True,,True,0.0001999999999999988,2223,888461.1875,0.000999999999999994,True,0
22474,True,,True,0.00019999999999997797,3549,743945.75,0.09819999999998918,False,3
22494,True,,True,0.00019999999999997797,3753,421905.6875,0.02079999999999771,False,0
22520,True,,True,0.0001999999999999988,2450,803807.4375,0.0033999999999999794,True,2
22544,True,,True,0.00019999999999997797,3290,831252.8125,0.026399999999997092,False,0
22564,True,,True,0.00020000000000000573,1936,941188.875,0.0020000000000000573,True,0
22587,True,,True,0.00019999999999999185,2836,1028193.75,0.002399999999999902,True,0
22610,True,,True,0.00019999999999997797,3365,418615.96875,0.028399999999996872,False,4
22632,True,,False,0.00020000000000000573,1795,798098.875,0.002200000000000063,True,3
22655,True,,False,0.0001999999999999988,2411,986134.375,0.002799999999999983,True,4
22686,True,,False,0.00019999999999999185,2559,661897.1875,0.002399999999999902,True,0
22710,True,,False,0.00019999999999997797,3987,634728.1875,0.032999999999996366,False,1
22732,True,,False,0.00019999999999997797,3467,422460.4375,0.03639999999999599,False,5
22755,True,,False,0.00019999999999999185,2872,644657.5625,0.0465999999999981,False,4
22777,True,,False,0.00019999999999999185,2698,908358.875,0.002799999999999886,True,3
22797,True,,False,0.0001999999999999988,2333,1024489.0,0.0023999999999999855,True,0
22820,True,,False,0.00019999999999999185,2703,676840.25,0.001199999999999951,True,0
22930,True,,False,0.00019999999999999185,2687,641103.375,0.031799999999998704,False,1
